,primary_key,Customer_ID,Product_ID,Month,Customer_name,Product_family,Customer_Cohort_Year,Customer_Tenure,Dimension1,Dimension2,Dimension3,Value type,Value yearly,year
1,0,CUST-00001,PROD-0008,2024-02-01,,,2024,1,UK,Europe,Enterprise,BoP ARR,106054.73,2024
2,0,CUST-00001,PROD-0008,2024-03-01,,,2024,2,UK,Europe,Enterprise,BoP ARR,119892.28,2024
3,0,CUST-00001,PROD-0008,2024-04-01,,,2024,3,UK,Europe,Enterprise,BoP ARR,115183.18,2024
4,0,CUST-00001,PROD-0008,2024-05-01,,,2024,4,UK,Europe,Enterprise,BoP ARR,119938.57,2024
5,0,CUST-00001,PROD-0008,2024-06-01,,,2024,5,UK,Europe,Enterprise,BoP ARR,112656.32,2024
6,0,CUST-00001,PROD-0008,2024-07-01,,,2024,6,UK,Europe,Enterprise,BoP ARR,116201.65,2024
7,0,CUST-00001,PROD-0008,2024-08-01,,,2024,7,UK,Europe,Enterprise,BoP ARR,111137.67,2024
8,0,CUST-00001,PROD-0008,2024-09-01,,,2024,8,UK,Europe,Enterprise,BoP ARR,125660.31,2024
9,0,CUST-00001,PROD-0008,2024-10-01,,,2024,9,UK,Europe,Enterprise,BoP ARR,106025.04,2024
10,0,CUST-00001,PROD-0008,2024-11-01,,,2024,10,UK,Europe,Enterprise,BoP ARR,114144.0,2024
12,1,CUST-00002,PROD-0002,2024-02-01,,,2024,1,France,Europe,Mid-Market,BoP ARR,80021.66,2024
13,1,CUST-00002,PROD-0002,2024-03-01,,,2024,2,France,Europe,Mid-Market,BoP ARR,74191.23,2024
14,1,CUST-00002,PROD-0002,2024-04-01,,,2024,3,France,Europe,Mid-Market,BoP ARR,79362.58,2024
15,1,CUST-00002,PROD-0002,2024-05-01,,,2024,4,France,Europe,Mid-Market,BoP ARR,89352.8,2024
16,1,CUST-00002,PROD-0002,2024-06-01,,,2024,5,France,Europe,Mid-Market,BoP ARR,81760.47,2024
18,2,CUST-00003,PROD-0002,2024-12-01,,,2024,1,UK,Europe,Enterprise,BoP ARR,393486.59,2024
19,2,CUST-00003,PROD-0002,2025-01-01,,,2024,2,UK,Europe,Enterprise,BoP ARR,361956.09,2025
20,2,CUST-00003,PROD-0002,2025-02-01,,,2024,3,UK,Europe,Enterprise,BoP ARR,402728.65,2025
21,2,CUST-00003,PROD-0002,2025-03-01,,,2024,4,UK,Europe,Enterprise,BoP ARR,419730.2,2025
22,2,CUST-00003,PROD-0002,2025-04-01,,,2024,5,UK,Europe,Enterprise,BoP ARR,393485.11,2025
23,2,CUST-00003,PROD-0002,2025-05-01,,,2024,6,UK,Europe,Enterprise,BoP ARR,369224.45,2025
24,2,CUST-00003,PROD-0002,2025-06-01,,,2024,7,UK,Europe,Enterprise,BoP ARR,382975.57,2025
25,2,CUST-00003,PROD-0002,2025-07-01,,,2024,8,UK,Europe,Enterprise,BoP ARR,366288.66,2025
26,2,CUST-00003,PROD-0002,2025-08-01,,,2024,9,UK,Europe,Enterprise,BoP ARR,428517.46,2025
27,2,CUST-00003,PROD-0002,2025-09-01,,,2024,10,UK,Europe,Enterprise,BoP ARR,426076.42,2025
28,2,CUST-00003,PROD-0002,2025-10-01,,,2024,11,UK,Europe,Enterprise,BoP ARR,425766.78,2025
30,3,CUST-00003,PROD-0005,2024-12-01,,,2024,1,UK,Europe,Enterprise,BoP ARR,177046.19,2024
31,3,CUST-00003,PROD-0005,2025-01-01,,,2024,2,UK,Europe,Enterprise,BoP ARR,212679.75,2025
32,3,CUST-00003,PROD-0005,2025-02-01,,,2024,3,UK,Europe,Enterprise,BoP ARR,210706.29,2025
33,3,CUST-00003,PROD-0005,2025-03-01,,,2024,4,UK,Europe,Enterprise,BoP ARR,208862.91,2025
34,3,CUST-00003,PROD-0005,2025-04-01,,,2024,5,UK,Europe,Enterprise,BoP ARR,188329.78,2025
35,3,CUST-00003,PROD-0005,2025-05-01,,,2024,6,UK,Europe,Enterprise,BoP ARR,178552.37,2025
36,3,CUST-00003,PROD-0005,2025-06-01,,,2024,7,UK,Europe,Enterprise,BoP ARR,210678.39,2025
37,3,CUST-00003,PROD-0005,2025-07-01,,,2024,8,UK,Europe,Enterprise,BoP ARR,213379.04,2025
38,3,CUST-00003,PROD-0005,2025-08-01,,,2024,9,UK,Europe,Enterprise,BoP ARR,179638.6,2025
39,3,CUST-00003,PROD-0005,2025-09-01,,,2024,10,UK,Europe,Enterprise,BoP ARR,195321.42,2025
40,3,CUST-00003,PROD-0005,2025-10-01,,,2024,11,UK,Europe,Enterprise,BoP ARR,178994.54,2025
41,3,CUST-00003,PROD-0005,2025-11-01,,,2024,12,UK,Europe,Enterprise,BoP ARR,206079.07,2025
43,4,CUST-00003,PROD-0001,2024-12-01,,,2024,1,UK,Europe,Enterprise,BoP ARR,169626.87,2024
44,4,CUST-00003,PROD-0001,2025-01-01,,,2024,2,UK,Europe,Enterprise,BoP ARR,163985.73,2025
45,4,CUST-00003,PROD-0001,2025-02-01,,,2024,3,UK,Europe,Enterprise,BoP ARR,190162.54,2025
46,4,CUST-00003,PROD-0001,2025-03-01,,,2024,4,UK,Europe,Enterprise,BoP ARR,190074.73,2025
48,5,CUST-00004,PROD-0003,2024-02-01,,,2024,1,Japan,APAC,Enterprise,BoP ARR,124995.14,2024
49,5,CUST-00004,PROD-0003,2024-03-01,,,2024,2,Japan,APAC,Enterprise,BoP ARR,126957.21,2024
50,5,CUST-00004,PROD-0003,2024-04-01,,,2024,3,Japan,APAC,Enterprise,BoP ARR,135851.86,2024
51,5,CUST-00004,PROD-0003,2024-05-01,,,2024,4,Japan,APAC,Enterprise,BoP ARR,134970.53,2024
52,5,CUST-00004,PROD-0003,2024-06-01,,,2024,5,Japan,APAC,Enterprise,BoP ARR,130653.39,2024
53,5,CUST-00004,PROD-0003,2024-07-01,,,2024,6,Japan,APAC,Enterprise,BoP ARR,129027.51,2024
54,5,CUST-00004,PROD-0003,2024-08-01,,,2024,7,Japan,APAC,Enterprise,BoP ARR,129601.35,2024
55,5,CUST-00004,PROD-0003,2024-09-01,,,2024,8,Japan,APAC,Enterprise,BoP ARR,121795.94,2024
56,5,CUST-00004,PROD-0003,2024-10-01,,,2024,9,Japan,APAC,Enterprise,BoP ARR,128575.51,2024
57,5,CUST-00004,PROD-0003,2024-11-01,,,2024,10,Japan,APAC,Enterprise,BoP ARR,121160.18,2024
58,5,CUST-00004,PROD-0003,2024-12-01,,,2024,11,Japan,APAC,Enterprise,BoP ARR,134242.11,2024
60,6,CUST-00005,PROD-0002,2024-05-01,,,2024,1,UK,Europe,Mid-Market,BoP ARR,41141.72,2024
61,6,CUST-00005,PROD-0002,2024-06-01,,,2024,2,UK,Europe,Mid-Market,BoP ARR,38245.53,2024
62,6,CUST-00005,PROD-0002,2024-07-01,,,2024,3,UK,Europe,Mid-Market,BoP ARR,38165.51,2024
63,6,CUST-00005,PROD-0002,2024-08-01,,,2024,4,UK,Europe,Mid-Market,BoP ARR,36958.95,2024
65,7,CUST-00005,PROD-0004,2024-05-01,,,2024,1,UK,Europe,Mid-Market,BoP ARR,33086.32,2024
66,7,CUST-00005,PROD-0004,2024-06-01,,,2024,2,UK,Europe,Mid-Market,BoP ARR,32806.07,2024
67,7,CUST-00005,PROD-0004,2024-07-01,,,2024,3,UK,Europe,Mid-Market,BoP ARR,27978.0,2024
69,8,CUST-00006,PROD-0005,2024-02-01,,,2024,1,USA,North America,Mid-Market,BoP ARR,61145.67,2024
70,8,CUST-00006,PROD-0005,2024-03-01,,,2024,2,USA,North America,Mid-Market,BoP ARR,63007.31,2024
71,8,CUST-00006,PROD-0005,2024-04-01,,,2024,3,USA,North America,Mid-Market,BoP ARR,59423.2,2024
72,8,CUST-00006,PROD-0005,2024-05-01,,,2024,4,USA,North America,Mid-Market,BoP ARR,55522.53,2024
73,8,CUST-00006,PROD-0005,2024-06-01,,,2024,5,USA,North America,Mid-Market,BoP ARR,58214.67,2024
74,8,CUST-00006,PROD-0005,2024-07-01,,,2024,6,USA,North America,Mid-Market,BoP ARR,57443.08,2024
76,9,CUST-00007,PROD-0002,2024-02-01,,,2024,1,Japan,APAC,Mid-Market,BoP ARR,47804.71,2024
77,9,CUST-00007,PROD-0002,2024-03-01,,,2024,2,Japan,APAC,Mid-Market,BoP ARR,50326.8,2024
78,9,CUST-00007,PROD-0002,2024-04-01,,,2024,3,Japan,APAC,Mid-Market,BoP ARR,49790.61,2024
79,9,CUST-00007,PROD-0002,2024-05-01,,,2024,4,Japan,APAC,Mid-Market,BoP ARR,52781.88,2024
80,9,CUST-00007,PROD-0002,2024-06-01,,,2024,5,Japan,APAC,Mid-Market,BoP ARR,44257.08,2024
81,9,CUST-00007,PROD-0002,2024-07-01,,,2024,6,Japan,APAC,Mid-Market,BoP ARR,47184.86,2024
82,9,CUST-00007,PROD-0002,2024-08-01,,,2024,7,Japan,APAC,Mid-Market,BoP ARR,46575.46,2024
83,9,CUST-00007,PROD-0002,2024-09-01,,,2024,8,Japan,APAC,Mid-Market,BoP ARR,51602.96,2024
85,10,CUST-00008,PROD-0004,2024-02-01,,,2024,1,Canada,North America,Enterprise,BoP ARR,247940.87,2024
86,10,CUST-00008,PROD-0004,2024-03-01,,,2024,2,Canada,North America,Enterprise,BoP ARR,240720.26,2024
87,10,CUST-00008,PROD-0004,2024-04-01,,,2024,3,Canada,North America,Enterprise,BoP ARR,239272.54,2024
88,10,CUST-00008,PROD-0004,2024-05-01,,,2024,4,Canada,North America,Enterprise,BoP ARR,273198.19,2024
89,10,CUST-00008,PROD-0004,2024-06-01,,,2024,5,Canada,North America,Enterprise,BoP ARR,249011.3,2024
90,10,CUST-00008,PROD-0004,2024-07-01,,,2024,6,Canada,North America,Enterprise,BoP ARR,270079.14,2024
91,10,CUST-00008,PROD-0004,2024-08-01,,,2024,7,Canada,North America,Enterprise,BoP ARR,254411.25,2024
92,10,CUST-00008,PROD-0004,2024-09-01,,,2024,8,Canada,North America,Enterprise,BoP ARR,229236.89,2024
93,10,CUST-00008,PROD-0004,2024-10-01,,,2024,9,Canada,North America,Enterprise,BoP ARR,277027.56,2024
94,10,CUST-00008,PROD-0004,2024-11-01,,,2024,10,Canada,North America,Enterprise,BoP ARR,268803.56,2024
95,10,CUST-00008,PROD-0004,2024-12-01,,,2024,11,Canada,North America,Enterprise,BoP ARR,275501.89,2024
97,11,CUST-00009,PROD-0003,2024-02-01,,,2024,1,Japan,APAC,SMB,BoP ARR,13468.06,2024
98,11,CUST-00009,PROD-0003,2024-03-01,,,2024,2,Japan,APAC,SMB,BoP ARR,13562.94,2024
99,11,CUST-00009,PROD-0003,2024-04-01,,,2024,3,Japan,APAC,SMB,BoP ARR,11710.67,2024
100,11,CUST-00009,PROD-0003,2024-05-01,,,2024,4,Japan,APAC,SMB,BoP ARR,11302.75,2024
101,11,CUST-00009,PROD-0003,2024-06-01,,,2024,5,Japan,APAC,SMB,BoP ARR,12277.5,2024
102,11,CUST-00009,PROD-0003,2024-07-01,,,2024,6,Japan,APAC,SMB,BoP ARR,13623.38,2024
103,11,CUST-00009,PROD-0003,2024-08-01,,,2024,7,Japan,APAC,SMB,BoP ARR,13268.43,2024
104,11,CUST-00009,PROD-0003,2024-09-01,,,2024,8,Japan,APAC,SMB,BoP ARR,12013.47,2024
105,11,CUST-00009,PROD-0003,2024-10-01,,,2024,9,Japan,APAC,SMB,BoP ARR,13046.15,2024
106,11,CUST-00009,PROD-0003,2024-11-01,,,2024,10,Japan,APAC,SMB,BoP ARR,13131.29,2024
108,12,CUST-00010,PROD-0008,2024-11-01,,,2024,1,Germany,Europe,Mid-Market,BoP ARR,98722.85,2024
109,12,CUST-00010,PROD-0008,2024-12-01,,,2024,2,Germany,Europe,Mid-Market,BoP ARR,98003.98,2024
110,12,CUST-00010,PROD-0008,2025-01-01,,,2024,3,Germany,Europe,Mid-Market,BoP ARR,102003.69,2025
111,12,CUST-00010,PROD-0008,2025-02-01,,,2024,4,Germany,Europe,Mid-Market,BoP ARR,88576.57,2025
112,12,CUST-00010,PROD-0008,2025-03-01,,,2024,5,Germany,Europe,Mid-Market,BoP ARR,98819.98,2025
113,12,CUST-00010,PROD-0008,2025-04-01,,,2024,6,Germany,Europe,Mid-Market,BoP ARR,97239.25,2025
115,13,CUST-00010,PROD-0003,2024-11-01,,,2024,1,Germany,Europe,Mid-Market,BoP ARR,26396.25,2024
116,13,CUST-00010,PROD-0003,2024-12-01,,,2024,2,Germany,Europe,Mid-Market,BoP ARR,22139.29,2024
117,13,CUST-00010,PROD-0003,2025-01-01,,,2024,3,Germany,Europe,Mid-Market,BoP ARR,22650.29,2025
118,13,CUST-00010,PROD-0003,2025-02-01,,,2024,4,Germany,Europe,Mid-Market,BoP ARR,24628.33,2025
119,13,CUST-00010,PROD-0003,2025-03-01,,,2024,5,Germany,Europe,Mid-Market,BoP ARR,25015.89,2025
120,13,CUST-00010,PROD-0003,2025-04-01,,,2024,6,Germany,Europe,Mid-Market,BoP ARR,22888.98,2025
121,13,CUST-00010,PROD-0003,2025-05-01,,,2024,7,Germany,Europe,Mid-Market,BoP ARR,22331.56,2025
122,13,CUST-00010,PROD-0003,2025-06-01,,,2024,8,Germany,Europe,Mid-Market,BoP ARR,26055.51,2025
123,13,CUST-00010,PROD-0003,2025-07-01,,,2024,9,Germany,Europe,Mid-Market,BoP ARR,22942.2,2025
124,13,CUST-00010,PROD-0003,2025-08-01,,,2024,10,Germany,Europe,Mid-Market,BoP ARR,24625.83,2025
125,13,CUST-00010,PROD-0003,2025-09-01,,,2024,11,Germany,Europe,Mid-Market,BoP ARR,24746.01,2025
127,14,CUST-00010,PROD-0004,2024-11-01,,,2024,1,Germany,Europe,Mid-Market,BoP ARR,70065.85,2024
128,14,CUST-00010,PROD-0004,2024-12-01,,,2024,2,Germany,Europe,Mid-Market,BoP ARR,66623.48,2024
129,14,CUST-00010,PROD-0004,2025-01-01,,,2024,3,Germany,Europe,Mid-Market,BoP ARR,65854.32,2025
130,14,CUST-00010,PROD-0004,2025-02-01,,,2024,4,Germany,Europe,Mid-Market,BoP ARR,71511.36,2025
131,14,CUST-00010,PROD-0004,2025-03-01,,,2024,5,Germany,Europe,Mid-Market,BoP ARR,66593.24,2025
132,14,CUST-00010,PROD-0004,2025-04-01,,,2024,6,Germany,Europe,Mid-Market,BoP ARR,65921.4,2025
133,14,CUST-00010,PROD-0004,2025-05-01,,,2024,7,Germany,Europe,Mid-Market,BoP ARR,64057.63,2025
134,14,CUST-00010,PROD-0004,2025-06-01,,,2024,8,Germany,Europe,Mid-Market,BoP ARR,71176.26,2025
135,14,CUST-00010,PROD-0004,2025-07-01,,,2024,9,Germany,Europe,Mid-Market,BoP ARR,68571.88,2025
137,15,CUST-00011,PROD-0001,2024-02-01,,,2024,1,UK,Europe,Enterprise,BoP ARR,548845.14,2024
138,15,CUST-00011,PROD-0001,2024-03-01,,,2024,2,UK,Europe,Enterprise,BoP ARR,456689.93,2024
139,15,CUST-00011,PROD-0001,2024-04-01,,,2024,3,UK,Europe,Enterprise,BoP ARR,470659.83,2024
140,15,CUST-00011,PROD-0001,2024-05-01,,,2024,4,UK,Europe,Enterprise,BoP ARR,475857.2,2024
141,15,CUST-00011,PROD-0001,2024-06-01,,,2024,5,UK,Europe,Enterprise,BoP ARR,542570.17,2024
142,15,CUST-00011,PROD-0001,2024-07-01,,,2024,6,UK,Europe,Enterprise,BoP ARR,537337.94,2024
143,15,CUST-00011,PROD-0001,2024-08-01,,,2024,7,UK,Europe,Enterprise,BoP ARR,537178.77,2024
144,15,CUST-00011,PROD-0001,2024-09-01,,,2024,8,UK,Europe,Enterprise,BoP ARR,486275.36,2024
145,15,CUST-00011,PROD-0001,2024-10-01,,,2024,9,UK,Europe,Enterprise,BoP ARR,465126.79,2024
146,15,CUST-00011,PROD-0001,2024-11-01,,,2024,10,UK,Europe,Enterprise,BoP ARR,532632.57,2024
147,15,CUST-00011,PROD-0001,2024-12-01,,,2024,11,UK,Europe,Enterprise,BoP ARR,519630.18,2024
148,15,CUST-00011,PROD-0001,2025-01-01,,,2024,12,UK,Europe,Enterprise,BoP ARR,510456.74,2025
150,16,CUST-00012,PROD-0005,2024-05-01,,,2024,1,UK,Europe,SMB,BoP ARR,8340.44,2024
151,16,CUST-00012,PROD-0005,2024-06-01,,,2024,2,UK,Europe,SMB,BoP ARR,9869.51,2024
152,16,CUST-00012,PROD-0005,2024-07-01,,,2024,3,UK,Europe,SMB,BoP ARR,8395.84,2024
154,17,CUST-00012,PROD-0009,2024-05-01,,,2024,1,UK,Europe,SMB,BoP ARR,7919.84,2024
155,17,CUST-00012,PROD-0009,2024-06-01,,,2024,2,UK,Europe,SMB,BoP ARR,7703.4,2024
156,17,CUST-00012,PROD-0009,2024-07-01,,,2024,3,UK,Europe,SMB,BoP ARR,6840.88,2024
157,17,CUST-00012,PROD-0009,2024-08-01,,,2024,4,UK,Europe,SMB,BoP ARR,7026.49,2024
158,17,CUST-00012,PROD-0009,2024-09-01,,,2024,5,UK,Europe,SMB,BoP ARR,6921.97,2024
